,Release Date,Season,Episode,Episode Title,Name,Sentence,House,Sentences_Clean,Num_Words,Tokenized_Sentence,Tokenized_No_Stop,Stemmed_Sentence,Stemmed_Sentence_Non_Token,Sentiment,Sentiment_Compound_Score,Lannister_Word_Score,Stark_Word_Score,Targaryen_Word_Score,Mormont_Word_Score
1101,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",mordane,You should speak to your father about these matters.,House Stark, you should speak to your father about these matters,9,"['you', 'should', 'speak', 'to', 'your', 'father', 'about', 'these', 'matters']","['speak', 'father', 'matters']","['speak', 'father', 'matter']", speak father matter,"{'neg': 0.0, 'neu': 0.645, 'pos': 0.355, 'compound': 0.0258}",0.0258,0.0010422698320787492,0.0015068134171907757,0.0005072022722661798,0.0006341154090044388
1102,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sansa stark,"I don't want to speak to my father, ever.",House Stark, i do not want to speak to my father ever,10,"['i', 'do', 'not', 'want', 'to', 'speak', 'to', 'my', 'father', 'ever']","['want', 'speak', 'father', 'ever']","['want', 'speak', 'father', 'ever']", want speak father ever,"{'neg': 0.0, 'neu': 0.698, 'pos': 0.302, 'compound': 0.0772}",0.0772,0.0015344528083381585,0.0025058962264150942,0.002206329884357882,0.0014267596702599874
1103,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",mordane,You will find it in your heart to forgive your father.,House Stark, you will find it in your heart to forgive your father,11,"['you', 'will', 'find', 'it', 'in', 'your', 'heart', 'to', 'forgive', 'your', 'father']","['find', 'heart', 'forgive', 'father']","['find', 'heart', 'forgive', 'father']", find heart forgive father,"{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.2732}",0.2732,0.0007817023740590619,0.0013757861635220125,0.0003804017041996348,0.0011097019657577679
1104,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",sansa stark,"No, I won't.",House Stark, no i wont,3,"['no', 'i', 'wont']",['wont'],['wont'], wont,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,0.0
1106,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",eddard stark,The King's tournament. I assure you the Hand wants no part of it.,House Stark, the kings tournament i assure you the hand wants no part of it,13,"['the', 'kings', 'tournament', 'i', 'assure', 'you', 'the', 'hand', 'wants', 'no', 'part', 'of', 'it']","['kings', 'tournament', 'assure', 'hand', 'wants', 'part']","['king', 'tournament', 'assure', 'hand', 'want', 'part']", king tournament assure hand want part,"{'neg': 0.0, 'neu': 0.303, 'pos': 0.697, 'compound': 0.7096}",0.7096,0.0012545840571318277,0.0017524895178197065,0.0013187259078920675,0.0010568590150073982
1111,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",eddard stark,You'll get 50. Lord Baelish will see it paid for.,House Stark, you will get 50 lord baelish will see it paid for,11,"['you', 'will', 'get', '50', 'lord', 'baelish', 'will', 'see', 'it', 'paid', 'for']","['get', '50', 'lord', 'baelish', 'see', 'paid']","['get', '50', 'lord', 'baelish', 'see', 'paid']", get 50 lord baelish see paid,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0013896931094383323,0.0017033542976939203,0.0005072022722661798,0.0005284295075036991
1113,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",eddard stark,"You found money for a champion's purse, you can find money to keep the peace. I'll also give you 20 of my household guards till the crowds have left.",House Stark, you found money for a champions purse you can find money to keep the peace i will also give you 20 of my household guards till the crowds have left,30,"['you', 'found', 'money', 'for', 'a', 'champions', 'purse', 'you', 'can', 'find', 'money', 'to', 'keep', 'the', 'peace', 'i', 'will', 'also', 'give', 'you', '20', 'of', 'my', 'household', 'guards', 'till', 'the', 'crowds', 'have', 'left']","['found', 'money', 'champions', 'purse', 'find', 'money', 'keep', 'peace', 'also', 'give', '20', 'household', 'guards', 'till', 'crowds', 'left']","['found', 'money', 'champion', 'purse', 'find', 'money', 'keep', 'peace', 'also', 'give', '20', 'household', 'guard', 'till', 'crowd', 'left']", found money champion purse find money keep peace also give 20 household guard till crowd left,"{'neg': 0.0, 'neu': 0.654, 'pos': 0.346, 'compound': 0.8126}",0.8126,6.514186450492182e-05,0.00025795990566037736,9.51004260499087e-05,0.0003170577045022194
1115,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",eddard stark,"The sooner this is over, the better.",House Stark, the sooner this is over the better,7,"['the', 'sooner', 'this', 'is', 'over', 'the', 'better']","['sooner', 'better']","['sooner', 'better']", sooner better,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,0.0004053271569195136,0.0007861635220125787,0.0,0.0
1118,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",eddard stark,"I'm sure the tourney puts coins in many a pocket. Now... If there's nothing else, my Lords?",House Stark, i am sure the tourney puts coins in many a pocket now if there is nothing else my lords,19,"['i', 'am', 'sure', 'the', 'tourney', 'puts', 'coins', 'in', 'many', 'a', 'pocket', 'now', 'if', 'there', 'is', 'nothing', 'else', 'my', 'lords']","['sure', 'tourney', 'puts', 'coins', 'many', 'pocket', 'nothing', 'else', 'lords']","['sure', 'tourney', 'put', 'coin', 'many', 'pocket', 'nothing', 'else', 'lord']", sure tourney put coin many pocket nothing else lord,"{'neg': 0.0, 'neu': 0.777, 'pos': 0.223, 'compound': 0.3182}",0.3182,0.0008106543138390272,0.0006878930817610062,0.0006424562115371611,0.00014091453533431975
1119,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",grand maester pycelle,"This heat. On days like this, I envy you northerners your summer snows. Until tomorrow my Lord.",House Lannister, this heat on days like this i envy you northerners your summer snows until tomorrow my lord,17,"['this', 'heat', 'on', 'days', 'like', 'this', 'i', 'envy', 'you', 'northerners', 'your', 'summer', 'snows', 'until', 'tomorrow', 'my', 'lord']","['heat', 'days', 'like', 'envy', 'northerners', 'summer', 'snows', 'tomorrow', 'lord']","['heat', 'day', 'like', 'envy', 'northerner', 'summer', 'snow', 'tomorrow', 'lord']", heat day like envy northerner summer snow tomorrow lord,"{'neg': 0.181, 'neu': 0.603, 'pos': 0.216, 'compound': 0.1027}",0.1027,0.0009779321881232708,0.000884433962264151,0.0005748292419016704,0.00014091453533431975
1120,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",eddard stark,I've been hoping to talk to you about Jon Arryn.,House Stark, i have been hoping to talk to you about jon arryn,11,"['i', 'have', 'been', 'hoping', 'to', 'talk', 'to', 'you', 'about', 'jon', 'arryn']","['hoping', 'talk', 'jon', 'arryn']","['hoping', 'talk', 'jon', 'arryn']", hoping talk jon arryn,"{'neg': 0.0, 'neu': 0.517, 'pos': 0.483, 'compound': 0.4215}",0.4215,0.0,0.000909001572327044,0.0,0.0
1121,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",grand maester pycelle,"Lord Arryn? His death was a great sadness to all of us. I took personal charge of his care, but I could not save him. His sickness struck him very hard and very fast. I saw him in my chambers just the night before he passed. Lord Jon often came to me for counsel.",House Lannister, lord arryn his death was a great sadness to all of us i took personal charge of his care but i could not save him his sickness struck him very hard and very fast i saw him in my chambers just the night before he passed lord jon often came to me for counsel,54,"['lord', 'arryn', 'his', 'death', 'was', 'a', 'great', 'sadness', 'to', 'all', 'of', 'us', 'i', 'took', 'personal', 'charge', 'of', 'his', 'care', 'but', 'i', 'could', 'not', 'save', 'him', 'his', 'sickness', 'struck', 'him', 'very', 'hard', 'and', 'very', 'fast', 'i', 'saw', 'him', 'in', 'my', 'chambers', 'just', 'the', 'night', 'before', 'he', 'passed', 'lord', 'jon', 'often', 'came', 'to', 'me', 'for', 'counsel']","['lord', 'arryn', 'death', 'great', 'sadness', 'us', 'took', 'personal', 'charge', 'care', 'could', 'save', 'sickness', 'struck', 'hard', 'fast', 'saw', 'chambers', 'night', 'passed', 'lord', 'jon', 'often', 'came', 'counsel']","['lord', 'arryn', 'death', 'great', 'sadness', 'u', 'took', 'personal', 'charge', 'care', 'could', 'save', 'sickness', 'struck', 'hard', 'fast', 'saw', 'chamber', 'night', 'passed', 'lord', 'jon', 'often', 'came', 'counsel']", lord arryn death great sadness u took personal charge care could save sickness struck hard fast saw chamber night passed lord jon often came counsel,"{'neg': 0.271, 'neu': 0.451, 'pos': 0.279, 'compound': 0.3182}",0.3182,0.000620729588882455,0.0005817610062893081,0.00023128423615337797,7.609384908053265e-05
1122,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",eddard stark,Why?,House Stark, why,1,['why'],[],[],,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,0.0
1123,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",grand maester pycelle,I have been Grand Maester for many years. Kings and Hands have come to me for advice since...,House Lannister, i have been grand maester for many years kings and hands have come to me for advice since,18,"['i', 'have', 'been', 'grand', 'maester', 'for', 'many', 'years', 'kings', 'and', 'hands', 'have', 'come', 'to', 'me', 'for', 'advice', 'since']","['grand', 'maester', 'many', 'years', 'kings', 'hands', 'come', 'advice', 'since']","['grand', 'maester', 'many', 'year', 'king', 'hand', 'come', 'advice', 'since']", grand maester many year king hand come advice since,"{'neg': 0.0, 'neu': 0.53, 'pos': 0.47, 'compound': 0.7351}",0.7351,0.0008749919577945055,0.0009499475890985325,0.0008115236356258875,0.0007045726766715987
1124,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",eddard stark,What did Jon want the night before he died?,House Stark, what did jon want the night before he died,9,"['what', 'did', 'jon', 'want', 'the', 'night', 'before', 'he', 'died']","['jon', 'want', 'night', 'died']","['jon', 'want', 'night', 'died']", jon want night died,"{'neg': 0.522, 'neu': 0.29, 'pos': 0.188, 'compound': -0.5106}",-0.5106,0.0005211349160393746,0.001498624213836478,0.0013694461351186854,0.0014267596702599874
1125,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",grand maester pycelle,He came inquiring after a book.,House Lannister, he came inquiring after a book,6,"['he', 'came', 'inquiring', 'after', 'a', 'book']","['came', 'inquiring', 'book']","['came', 'inquiring', 'book']", came inquiring book,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0002702181046130091,0.0,0.0,0.0
1126,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",eddard stark,A book? What book?,House Stark, a book what book,4,"['a', 'book', 'what', 'book']","['book', 'book']","['book', 'book']", book book,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,0.0
1127,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",grand maester pycelle,"I fear it would be of little interest to you, my Lord. A ponderous tome.",House Lannister, i fear it would be of little interest to you my lord a ponderous tome,15,"['i', 'fear', 'it', 'would', 'be', 'of', 'little', 'interest', 'to', 'you', 'my', 'lord', 'a', 'ponderous', 'tome']","['fear', 'would', 'little', 'interest', 'lord', 'ponderous', 'tome']","['fear', 'would', 'little', 'interest', 'lord', 'ponderous', 'tome']", fear would little interest lord ponderous tome,"{'neg': 0.293, 'neu': 0.458, 'pos': 0.248, 'compound': -0.1263}",-0.1263,0.0016709405244437088,0.0015442497753818507,0.0007390661681592904,0.00018117583114412537
1128,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",eddard stark,I'd like to read it.,House Stark, i would like to read it,6,"['i', 'would', 'like', 'to', 'read', 'it']","['would', 'like', 'read']","['would', 'like', 'read']", would like read,"{'neg': 0.0, 'neu': 0.444, 'pos': 0.556, 'compound': 0.3612}",0.3612,0.002779386218876665,0.002784329140461216,0.002434570906877663,0.0008454872120059184
1129,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",grand maester pycelle,"The lineages and histories of the great houses of the Seven Kingdoms, with descriptions of many high lords and noble ladies and their children.",House Lannister, the lineages and histories of the great houses of the seven kingdoms with descriptions of many high lords and noble ladies and their children,24,"['the', 'lineages', 'and', 'histories', 'of', 'the', 'great', 'houses', 'of', 'the', 'seven', 'kingdoms', 'with', 'descriptions', 'of', 'many', 'high', 'lords', 'and', 'noble', 'ladies', 'and', 'their', 'children']","['lineages', 'histories', 'great', 'houses', 'seven', 'kingdoms', 'descriptions', 'many', 'high', 'lords', 'noble', 'ladies', 'children']","['lineage', 'history', 'great', 'house', 'seven', 'kingdom', 'description', 'many', 'high', 'lord', 'noble', 'lady', 'child']", lineage history great house seven kingdom description many high lord noble lady child,"{'neg': 0.0, 'neu': 0.608, 'pos': 0.392, 'compound': 0.7964}",0.7964,0.0008373791813282258,0.0005140299951620706,0.0004915960485041435,0.00019511243353982733
1130,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",eddard stark,"Harkon Umber, first of his name, born to lord Hother Umber and lady Amaryllis Umber in the 183rd year after Aegon's landing, at the last hearth. Blue of eye, brown of hair and fair complected, died in his 14th year of a wound sustained",House Stark, harkon umber first of his name born to lord hother umber and lady amaryllis umber in the 183rd year after aegons landing at the last hearth blue of eye brown of hair and fair complected died in his 14th year of a wound sustained,44,"['harkon', 'umber', 'first', 'of', 'his', 'name', 'born', 'to', 'lord', 'hother', 'umber', 'and', 'lady', 'amaryllis', 'umber', 'in', 'the', '183rd', 'year', 'after', 'aegons', 'landing', 'at', 'the', 'last', 'hearth', 'blue', 'of', 'eye', 'brown', 'of', 'hair', 'and', 'fair', 'complected', 'died', 'in', 'his', '14th', 'year', 'of', 'a', 'wound', 'sustained']","['harkon', 'umber', 'first', 'name', 'born', 'lord', 'hother', 'umber', 'lady', 'amaryllis', 'umber', '183rd', 'year', 'aegons', 'landing', 'last', 'hearth', 'blue', 'eye', 'brown', 'hair', 'fair', 'complected', 'died', '14th', 'year', 'wound', 'sustained']","['harkon', 'umber', 'first', 'name', 'born', 'lord', 'hother', 'umber', 'lady', 'amaryllis', 'umber', '183rd', 'year', 'aegons', 'landing', 'last', 'hearth', 'blue', 'eye', 'brown', 'hair', 'fair', 'complected', 'died', '14th', 'year', 'wound', 'sustained']", harkon umber first name born lord hother umber lady amaryllis umber 183rd year aegons landing last hearth blue eye brown hair fair complected died 14th year wound sustained,"{'neg': 0.113, 'neu': 0.815, 'pos': 0.072, 'compound': -0.3182}",-0.3182,0.00035569526015385885,0.00042115902964959566,0.00015216068167985393,0.0
1131,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",grand maester pycelle,"As I said, my Lord, a ponderous read.",House Lannister, as i said my lord a ponderous read,8,"['as', 'i', 'said', 'my', 'lord', 'a', 'ponderous', 'read']","['said', 'lord', 'ponderous', 'read']","['said', 'lord', 'ponderous', 'read']", said lord ponderous read,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.001476548928778228,0.001547759433962264,0.0003804017041996348,0.0
1132,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",eddard stark,Did Jon Arryn tell you what he wanted with it?,House Stark, did jon arryn tell you what he wanted with it,10,"['did', 'jon', 'arryn', 'tell', 'you', 'what', 'he', 'wanted', 'with', 'it']","['jon', 'arryn', 'tell', 'wanted']","['jon', 'arryn', 'tell', 'wanted']", jon arryn tell wanted,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.00043427909669947886,0.0012529481132075473,0.0013694461351186852,0.0003170577045022194
1133,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",grand maester pycelle,"He did not, my Lord. And I did not presume to ask.",House Lannister, he did not my lord and i did not presume to ask,12,"['he', 'did', 'not', 'my', 'lord', 'and', 'i', 'did', 'not', 'presume', 'to', 'ask']","['lord', 'presume', 'ask']","['lord', 'presume', 'ask']", lord presume ask,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0015441034549314803,0.001736111111111111,0.0005072022722661798,0.0
1134,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",eddard stark,Jon's death...,House Stark, jons death,2,"['jons', 'death']","['jons', 'death']","['jons', 'death']", jons death,"{'neg': 0.796, 'neu': 0.204, 'pos': 0.0, 'compound': -0.5994}",-0.5994,0.0,0.0,0.0,0.0
1135,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",grand maester pycelle,Such a tragedy.,House Lannister, such a tragedy,3,"['such', 'a', 'tragedy']",['tragedy'],['tragedy'], tragedy,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.6597}",-0.6597,0.0,0.0,0.0,0.0
1136,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",eddard stark,Did he say anything to you during his final hours?,House Stark, did he say anything to you during his final hours,10,"['did', 'he', 'say', 'anything', 'to', 'you', 'during', 'his', 'final', 'hours']","['say', 'anything', 'final', 'hours']","['say', 'anything', 'final', 'hour']", say anything final hour,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0006658946149392009,0.00046678459119496856,0.0006847230675593427,0.0006341154090044388
1137,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",grand maester pycelle,"Nothing of import, my Lord. There was one phrase he kept repeating",House Lannister, nothing of import my lord there was one phrase he kept repeating,12,"['nothing', 'of', 'import', 'my', 'lord', 'there', 'was', 'one', 'phrase', 'he', 'kept', 'repeating']","['nothing', 'import', 'lord', 'one', 'phrase', 'kept', 'repeating']","['nothing', 'import', 'lord', 'one', 'phrase', 'kept', 'repeating']", nothing import lord one phrase kept repeating,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0012573413847299197,0.0013617475292003593,0.0011303364924789149,0.0002717637467161881
1138,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",eddard stark,"The seed is strong""? What does that mean?",House Stark, the seed is strong what does that mean,8,"['the', 'seed', 'is', 'strong', 'what', 'does', 'that', 'mean']","['seed', 'strong', 'mean']","['seed', 'strong', 'mean']", seed strong mean,"{'neg': 0.0, 'neu': 0.377, 'pos': 0.623, 'compound': 0.5106}",0.5106,0.0,0.0,0.0,0.0
1139,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",grand maester pycelle,"The dying mind is a demented mind, Lord Stark. For all the weight they're given, last words are usually as significant as first words.",House Lannister, the dying mind is a demented mind lord stark for all the weight they are given last words are usually as significant as first words,25,"['the', 'dying', 'mind', 'is', 'a', 'demented', 'mind', 'lord', 'stark', 'for', 'all', 'the', 'weight', 'they', 'are', 'given', 'last', 'words', 'are', 'usually', 'as', 'significant', 'as', 'first', 'words']","['dying', 'mind', 'demented', 'mind', 'lord', 'stark', 'weight', 'given', 'last', 'words', 'usually', 'significant', 'first', 'words']","['dying', 'mind', 'demented', 'mind', 'lord', 'stark', 'weight', 'given', 'last', 'word', 'usually', 'significant', 'first', 'word']", dying mind demented mind lord stark weight given last word usually significant first word,"{'neg': 0.0, 'neu': 0.878, 'pos': 0.122, 'compound': 0.2023}",0.2023,0.0008271982794275787,0.0005896226415094339,0.00039127032431962436,0.00022646978893015672
1140,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",eddard stark,And you're quite certain he died of a natural illness?,House Stark, and you are quite certain he died of a natural illness,11,"['and', 'you', 'are', 'quite', 'certain', 'he', 'died', 'of', 'a', 'natural', 'illness']","['quite', 'certain', 'died', 'natural', 'illness']","['quite', 'certain', 'died', 'natural', 'illness']", quite certain died natural illness,"{'neg': 0.517, 'neu': 0.079, 'pos': 0.405, 'compound': -0.3446}",-0.3446,0.0,0.0,0.0,0.0
1141,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",grand maester pycelle,What else could it be?,House Lannister, what else could it be,5,"['what', 'else', 'could', 'it', 'be']","['else', 'could']","['else', 'could']", else could,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0009264620729588882,0.0007370283018867925,0.0007608034083992696,0.0
1142,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",eddard stark,Poison.,House Stark, poison,1,['poison'],['poison'],['poison'], poison,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.5423}",-0.5423,0.0,0.0,0.0,0.0
1143,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",grand maester pycelle,A disturbing thought. I don't think it likely. The Hand was loved by all. What sort of man would dare...,House Lannister, a disturbing thought i do not think it likely the hand was loved by all what sort of man would dare,21,"['a', 'disturbing', 'thought', 'i', 'do', 'not', 'think', 'it', 'likely', 'the', 'hand', 'was', 'loved', 'by', 'all', 'what', 'sort', 'of', 'man', 'would', 'dare']","['disturbing', 'thought', 'think', 'likely', 'hand', 'loved', 'sort', 'man', 'would', 'dare']","['disturbing', 'thought', 'think', 'likely', 'hand', 'loved', 'sort', 'man', 'would', 'dare']", disturbing thought think likely hand loved sort man would dare,"{'neg': 0.19, 'neu': 0.402, 'pos': 0.408, 'compound': 0.5859}",0.5859,0.0011001737116386797,0.0010220125786163522,0.0008216676810712112,0.001077996195307546
1144,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",eddard stark,I've heard it said that poison is a woman's weapon.,House Stark, i have heard it said that poison is a womans weapon,11,"['i', 'have', 'heard', 'it', 'said', 'that', 'poison', 'is', 'a', 'womans', 'weapon']","['heard', 'said', 'poison', 'womans', 'weapon']","['heard', 'said', 'poison', 'woman', 'weapon']", heard said poison woman weapon,"{'neg': 0.655, 'neu': 0.345, 'pos': 0.0, 'compound': -0.6908}",-0.6908,0.00025477707006369424,0.00019654088050314466,0.00024345709068776628,0.0003804692454026633
1145,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",grand maester pycelle,"Yes. Women, cravens... and eunuchs. Did you know that lord Varys is a eunuch?",House Lannister, yes women cravens and eunuchs did you know that lord varys is a eunuch,14,"['yes', 'women', 'cravens', 'and', 'eunuchs', 'did', 'you', 'know', 'that', 'lord', 'varys', 'is', 'a', 'eunuch']","['yes', 'women', 'cravens', 'eunuchs', 'know', 'lord', 'varys', 'eunuch']","['yes', 'woman', 'craven', 'eunuch', 'know', 'lord', 'varys', 'eunuch']", yes woman craven eunuch know lord varys eunuch,"{'neg': 0.0, 'neu': 0.722, 'pos': 0.278, 'compound': 0.4019}",0.4019,0.0011146496815286622,0.0014249213836477989,0.0011792452830188679,0.00023779327837666455
1146,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",eddard stark,Everybody knows that.,House Stark, everybody knows that,3,"['everybody', 'knows', 'that']","['everybody', 'knows']","['everybody', 'know']", everybody know,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0011580775911986102,0.0023584905660377358,0.002130249543517955,0.0009511731135066582
1147,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",grand maester pycelle,"Yes, yes, of course. How that sort of person found himself on the King's Council, I will never know.",House Lannister, yes yes of course how that sort of person found himself on the kings council i will never know,19,"['yes', 'yes', 'of', 'course', 'how', 'that', 'sort', 'of', 'person', 'found', 'himself', 'on', 'the', 'kings', 'council', 'i', 'will', 'never', 'know']","['yes', 'yes', 'course', 'sort', 'person', 'found', 'kings', 'council', 'never', 'know']","['yes', 'yes', 'course', 'sort', 'person', 'found', 'king', 'council', 'never', 'know']", yes yes course sort person found king council never know,"{'neg': 0.0, 'neu': 0.597, 'pos': 0.403, 'compound': 0.6597}",0.6597,0.0011928199189345685,0.001474056603773585,0.0014607425441265976,0.0006341154090044388
1148,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",eddard stark,I've taken enough of your time.,House Stark, i have taken enough of your time,7,"['i', 'have', 'taken', 'enough', 'of', 'your', 'time']","['taken', 'enough', 'time']","['taken', 'enough', 'time']", taken enough time,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0008106543138390272,0.0011137316561844865,0.0008115236356258876,0.0010568590150073982
1149,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",grand maester pycelle,"No trouble at all, my Lord. It's a great honor...",House Lannister, no trouble at all my lord it is a great honor,11,"['no', 'trouble', 'at', 'all', 'my', 'lord', 'it', 'is', 'a', 'great', 'honor']","['trouble', 'lord', 'great', 'honor']","['trouble', 'lord', 'great', 'honor']", trouble lord great honor,"{'neg': 0.245, 'neu': 0.091, 'pos': 0.664, 'compound': 0.6808}",0.6808,0.00170816444701795,0.001547759433962264,0.0008368837492391966,0.0006341154090044388
1150,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",eddard stark,Thank you. I'll find my own way out.,House Stark, thank you i will find my own way out,9,"['thank', 'you', 'i', 'will', 'find', 'my', 'own', 'way', 'out']","['thank', 'find', 'way']","['thank', 'find', 'way']", thank find way,"{'neg': 0.0, 'neu': 0.444, 'pos': 0.556, 'compound': 0.3612}",0.3612,0.0,0.000720649895178197,0.0005072022722661798,0.0008454872120059184
1151,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",arya stark,Syrio says a water dancer can stand on one toe for hours.,House Stark, syrio says a water dancer can stand on one toe for hours,12,"['syrio', 'says', 'a', 'water', 'dancer', 'can', 'stand', 'on', 'one', 'toe', 'for', 'hours']","['syrio', 'says', 'water', 'dancer', 'stand', 'one', 'toe', 'hours']","['syrio', 'say', 'water', 'dancer', 'stand', 'one', 'toe', 'hour']", syrio say water dancer stand one toe hour,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0005645628257093225,0.0006510416666666667,0.0007608034083992696,0.0005548509828788839
1152,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",eddard stark,It's a hard fall down these steps.,House Stark, it is a hard fall down these steps,8,"['it', 'is', 'a', 'hard', 'fall', 'down', 'these', 'steps']","['hard', 'fall', 'steps']","['hard', 'fall', 'step']", hard fall step,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.1027}",-0.1027,0.0,0.0,0.0,0.0
1153,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",arya stark,Syrio says every hurt is a lesson and every lesson makes you better. Tomorrow I'm going to be chasing cats.,House Stark, syrio says every hurt is a lesson and every lesson makes you better tomorrow i am going to be chasing cats,21,"['syrio', 'says', 'every', 'hurt', 'is', 'a', 'lesson', 'and', 'every', 'lesson', 'makes', 'you', 'better', 'tomorrow', 'i', 'am', 'going', 'to', 'be', 'chasing', 'cats']","['syrio', 'says', 'every', 'hurt', 'lesson', 'every', 'lesson', 'makes', 'better', 'tomorrow', 'going', 'chasing', 'cats']","['syrio', 'say', 'every', 'hurt', 'lesson', 'every', 'lesson', 'make', 'better', 'tomorrow', 'going', 'chasing', 'cat']", syrio say every hurt lesson every lesson make better tomorrow going chasing cat,"{'neg': 0.197, 'neu': 0.636, 'pos': 0.168, 'compound': -0.128}",-0.128,0.00039196472317491423,0.0004913522012578616,0.0005150053841471979,0.00019511243353982733
1154,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",eddard stark,Cats? Syrio says…,House Stark, cats syrio says…,3,"['cats', 'syrio', 'says']","['cats', 'syrio', 'says']","['cat', 'syrio', 'say']", cat syrio say,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0005790387955993051,0.0006223794549266247,0.0006086427267194157,0.0008454872120059184
